Test,Test#,Pattern,Wafer,Site,Pin,Device,Value,Unit,P/F,Time,TS Time,Print To Data Log
"SpecLevels_Vmin_60ns_MPB_nandtree_DPM_st",204,"",0,1,"@",1,1,"","P",0.0127521,***,""
"SpecLevels_Vmin_60ns_MPB_nandtree_dis_DPM_st",10204,"",0,1,"@",1,1,"","P",0.011361,***,""
"SpecLevels_Vmin_120ns_MPB_volvoh_DPM",207,"",0,1,"@",1,1,"","P",0.0115645,***,""
"VIH_VIL_Vmin_60ns_MPB_nandtree_DPM_st",210,"",0,1,"@",1,1,"","P",0.0117388,***,""
"VIH_VIL_Vmin_60ns_MPB_nandtree_dis_DPM_st",10210,"",0,1,"@",1,1,"","P",0.011426,***,""
"SpecLevels_Vmax_60ns_MPB_nandtree_DPM_st",220,"",0,1,"@",1,1,"","P",0.0105292,***,""
"SpecLevels_Vmax_60ns_MPB_nandtree_dis_DPM_st",10220,"",0,1,"@",1,1,"","P",0.0103469,***,""
"SpecLevels_Vmax_120ns_MPB_volvoh_DPM",223,"",0,1,"@",1,1,"","P",0.0106001,***,""
"VIH_VIL_Vmax_60ns_MPB_nandtree_DPM_st",226,"",0,1,"@",1,1,"","P",0.0113518,***,""
"VIH_VIL_Vmax_60ns_MPB_nandtree_dis_DPM_st",10226,"",0,1,"@",1,1,"","P",0.0110172,***,""
"IIHIO_BQ0084T",16000001,"",0,1,"CBE1_Z",1,6.542,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000002,"",0,1,"AD3",1,6.482,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000003,"",0,1,"AD15",1,6.482,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000004,"",0,1,"AD8",1,6.446,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000005,"",0,1,"AD14",1,6.417,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000006,"",0,1,"AD25",1,6.588,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000007,"",0,1,"PERR_Z",1,6.585,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000008,"",0,1,"AD13",1,6.523,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000009,"",0,1,"FRAME_Z",1,6.51,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000010,"",0,1,"AD26",1,6.56,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000011,"",0,1,"AD18",1,6.533,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000012,"",0,1,"CLKOUT3",1,6.499,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000013,"",0,1,"CBE0_Z",1,6.466,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000014,"",0,1,"REQ1_Z",1,6.485,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000015,"",0,1,"AD1",1,6.551,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000016,"",0,1,"AD28",1,6.584,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000017,"",0,1,"PRST_Z",1,6.678,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000018,"",0,1,"REQ4_Z",1,6.513,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000019,"",0,1,"REQ5_Z",1,6.533,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000020,"",0,1,"INTA_Z",1,6.56,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000021,"",0,1,"REQ0_Z",1,6.478,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000022,"",0,1,"AD5",1,6.499,"uA","P",0.0273895,***,""
